"paragraphs (2) through (8)","usc/31/6403/b/2..8"
"subsections (d) through (g) of section 2709 of title 18, United States Code","usc/18/2709/d..g"
"subsections (d) through (g) of section 2709 of title 18, United States Code","usc/18/2709/d..g"
"subsections (c) through (g)","usc/31/3101B/c..g"
"subsections (d) through (j)","usc/49/31306/d..j"
"subsections (e) through (k)","usc/49/31306/e..k"
"paragraphs (1) through (3)","usc/38/117/c/1..3"
"sections 1581 through 1592","usc/18/1581..1592"
"sections 2421 through 2424","usc/18/2421..2424"
"sections 5312 through 5316 of title 5, United States Code","usc/5/5312..5316"
"paragraphs (2) through (10)","usc/5/8438/a/2..10"
"paragraphs (3) through (11)","usc/5/8438/a/3..11"
"7 U.S.C. 321–326a","usc/7/321..326a"
"paragraphs (3) through (6)","usc/38/3679/c/3..6"
"subsections (a) through (d) of section 1311 of such title","usc/38/1311/a..d"
"paragraphs (1) through (6)","usc/44/3550/d/1..6"
"paragraphs (1) through (6)","usc/44/3550/d/1..6"
"clauses (i) through (iii) of section 804(2)(A)","usc/5/804//2/A/i..iii"
"paragraphs (4) through (13)","usc/17/111/c/4..13"
"6 U.S.C. 961-973","usc/6/961..973"
"6 U.S.C. 961-973","usc/6/961..973"
"1490p–2","usc/42/1490p-2"
"paragraphs (9) through (19)","usc/11/523/a/9..19"
"paragraphs (8) through (18)","usc/11/523/a/8..18"
"subsections (b) through (i) of section 3161 of title 5, United States Code","usc/5/3161/b..i"
"43 U.S.C. 523–525","usc/43/523..525"
"43 U.S.C. 523–525","usc/43/523..525"
"43 U.S.C. 523–525","usc/43/523..525"
" 43 U.S.C. 523–525","usc/43/523..525"
" 43 U.S.C. 523–525","usc/43/523..525"
"43 U.S.C. 523–525","usc/43/523..525"
"paragraphs (4) through (6)","usc/23/608/a/4..6"
"paragraphs (5) through (7)","usc/23/608/a/5..7"
"clauses (i) through (vi) of subparagraph (A) of this subsection","usc/18/1030/c/5/A/i..iv"
"sections 30116 through 30120A of this title","usc/49/30116..30120A"
